date,cluster_name,previous_cluster_name,new_cases,date_readable,source_url1,source_url2,new_cluster
8/27/21,2262,,6,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,Champion 7 - Blue Titanium,,10,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,Champion 7 - Platform,,1,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,Champion 7 - Posh Elegance,,2,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,1597,,6,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,PAS (Aker),,4,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,1888,,1,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,TOTAL,,1,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,Samima,,1,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,Chung Hua KB,,6,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,BSP HQ (Block M),,2,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,IBTE KB,,2,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,The Mall,,3,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/27/21,SKH Gadong,,9,27 Aug 2021,https://t.me/govbnofficial/2899,,
8/26/21,Chung Hua KB,,15,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,IBTE KB,,2,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,Champion 7 - Blue Titanium,,5,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,Champion 7 - Platform,,3,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,Jaya Hypermart,,3,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,SKH Gadong,,5,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,Imigresen,,2,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,PAS (Aker),PA,2,26 Aug 2021,https://t.me/govbnofficial/2891,,FALSE
8/26/21,Dragon Boat,,1,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,Semporna Enak,,1,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,1640,,1,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,The Mall,,1,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,451,,1,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,1888,,11,26 Aug 2021,https://t.me/govbnofficial/2891,,
8/26/21,2085,,8,26 Aug 2021,https://t.me/govbnofficial/2891,,
