cluster_name,cluster_name2,cluster_name3,est_cluster_size
362,,,1
418,,,10
451,,,4
477,,,21
495,,,2
535,,,2
573,,,1
583,,,14
635,,,3
884,,,4
1328,,,5
1385,,,4
1597,,,16
1640,,,8
1888,,,12
2085,,,8
2262,,,6
[Unspecified Cluster Additions],,,53
ABCi,,,41
Al-Falah - Freda Radin,Al-Falah,,43
BSP HQ (Block M),BSP HQ,499,58
Champion 7,Champion 7 and Related Vessels,,146
Champion 7 - Blue Titanium,,,91
Champion 7 - Others,,,1
Champion 7 - Platform,,,34
Champion 7 - Posh Elegance,,,26
Chung Hua KB,,,275
Dragon Boat,,,19
IBTE KB,,,33
Imigresen,,,60
Jaya Hypermart,,,12
Lorong Tengah,,,3
PAS (Aker),PA,Aker,24
Samima,,,20
Semporna Enak,,,35
SKH Gadong,,,22
Starlodge,Salah satu Pusat Pemantauan,,7
The Mall,,,43
TOTAL,,,28
