date,new_cases_local,date_readable,source_url
8/21/21,120,21 Aug 2021,https://t.me/govbnofficial/2832
8/20/21,197,20 Aug 2021,https://t.me/govbnofficial/2819
8/19/21,190,19 Aug 2021,https://t.me/govbnofficial/2799
8/18/21,94,18 Aug 2021,https://t.me/govbnofficial/2780
8/17/21,61,17 Aug 2021,https://t.me/govbnofficial/2763
8/16/21,64,16 Aug 2021,https://t.me/govbnofficial/2741
8/15/21,79,15 Aug 2021,https://t.me/govbnofficial/2722
8/14/21,42,14 Aug 2021,https://t.me/govbnofficial/2706
8/13/21,54,13 Aug 2021,https://t.me/govbnofficial/2687
8/12/21,49,12 Aug 2021,https://t.me/govbnofficial/2668
8/11/21,54,11 Aug 2021,https://t.me/govbnofficial/2639
8/10/21,32,10 Aug 2021,https://t.me/govbnofficial/2626
8/9/21,38,9 Aug 2021,https://t.me/govbnofficial/2595
8/8/21,15,8 Aug 2021,https://t.me/govbnofficial/2557
8/7/21,7,7 Aug 2021,https://t.me/govbnofficial/2512
