date,case_no_start,case_no_end,new_total_cases,new_import_cases,new_local_cases,new_unlinked_cases,prev_unlinked_now_linked,source_url
8/27/21,2266,2380,115,3,112,59,1,https://t.me/govbnofficial/2899
8/26/21,2160,2265,106,0,106,47,2,https://t.me/govbnofficial/2891
8/25/21,1984,2159,176,0,176,88,0,https://t.me/govbnofficial/2880
8/24/21,1874,1983,110,3,107,46,2,https://t.me/govbnofficial/2872
8/23/21,1770,1873,104,0,104,70,1,https://t.me/govbnofficial/2851
8/22/21,1456,1769,314,6,308,141,5,https://t.me/govbnofficial/2838
8/21/21,1334,1455,122,2,120,79,0,https://t.me/govbnofficial/2832
8/20/21,1137,1333,197,0,197,74,1,https://t.me/govbnofficial/2819
8/19/21,947,1136,190,0,190,51,1,https://t.me/govbnofficial/2799
8/18/21,853,946,94,0,94,30,,https://t.me/govbnofficial/2780
8/17/21,788,852,65,4,61,18,,https://t.me/govbnofficial/2763
8/16/21,724,787,64,0,64,24,,https://t.me/govbnofficial/2741
8/15/21,641,723,83,4,79,32,,https://t.me/govbnofficial/2722
8/14/21,599,640,42,0,42,15,,https://t.me/govbnofficial/2706
8/13/21,544,598,55,1,54,22,,https://t.me/govbnofficial/2687
8/12/21,495,543,49,0,49,5,,https://t.me/govbnofficial/2668
8/11/21,441,494,54,0,54,13,,https://t.me/govbnofficial/2639
8/10/21,407,440,34,2,32,0,,https://t.me/govbnofficial/2626
8/9/21,365,406,42,4,38,0,,https://t.me/govbnofficial/2595
8/8/21,348,364,17,2,15,0,,https://t.me/govbnofficial/2557
8/7/21,340,347,8,1,7,0,,https://t.me/govbnofficial/2512
